score=135,认假率=0.000000,拒真率=0.981303,识别率=0.509348
score=136,认假率=0.000000,拒真率=0.981656,识别率=0.509172
score=137,认假率=0.000000,拒真率=0.984037,识别率=0.507981
score=138,认假率=0.000000,拒真率=0.984214,识别率=0.507893
score=139,认假率=0.000000,拒真率=0.984743,识别率=0.507629
score=140,认假率=0.000000,拒真率=0.984919,识别率=0.507540
score=141,认假率=0.000000,拒真率=0.984919,识别率=0.507540
score=142,认假率=0.000000,拒真率=0.985007,识别率=0.507496
score=143,认假率=0.000000,拒真率=0.985184,识别率=0.507408
score=144,认假率=0.000000,拒真率=0.985184,识别率=0.507408
score=145,认假率=0.000000,拒真率=0.985537,识别率=0.507232
score=146,认假率=0.000000,拒真率=0.985625,识别率=0.507188
score=147,认假率=0.000000,拒真率=0.985625,识别率=0.507188
score=148,认假率=0.000000,拒真率=0.987741,识别率=0.506129
score=149,认假率=0.000000,拒真率=0.987741,识别率=0.506129
score=150,认假率=0.000000,拒真率=0.988094,识别率=0.505953
score=151,认假率=0.000000,拒真率=0.988182,识别率=0.505909
score=152,认假率=0.000000,拒真率=0.988271,识别率=0.505865
score=153,认假率=0.000000,拒真率=0.988359,识别率=0.505821
score=154,认假率=0.000000,拒真率=0.988447,识别率=0.505777
score=155,认假率=0.000000,拒真率=0.988447,识别率=0.505777
score=156,认假率=0.000000,拒真率=0.988447,识别率=0.505777
score=157,认假率=0.000000,拒真率=0.988447,识别率=0.505777
score=158,认假率=0.000000,拒真率=0.988623,识别率=0.505688
score=159,认假率=0.000000,拒真率=0.988623,识别率=0.505688
score=160,认假率=0.000000,拒真率=0.988623,识别率=0.505688
score=161,认假率=0.000000,拒真率=0.990299,识别率=0.504851
score=162,认假率=0.000000,拒真率=0.990475,识别率=0.504762
score=163,认假率=0.000000,拒真率=0.990564,识别率=0.504718
score=164,认假率=0.000000,拒真率=0.990652,识别率=0.504674
score=165,认假率=0.000000,拒真率=0.990652,识别率=0.504674
score=166,认假率=0.000000,拒真率=0.990740,识别率=0.504630
score=167,认假率=0.000000,拒真率=0.990740,识别率=0.504630
score=168,认假率=0.000000,拒真率=0.990828,识别率=0.504586
score=169,认假率=0.000000,拒真率=0.990828,识别率=0.504586
score=170,认假率=0.000000,拒真率=0.990916,识别率=0.504542
score=171,认假率=0.000000,拒真率=0.991004,识别率=0.504498
score=172,认假率=0.000000,拒真率=0.991004,识别率=0.504498
score=173,认假率=0.000000,拒真率=0.991004,识别率=0.504498
score=174,认假率=0.000000,拒真率=0.991093,识别率=0.504454
score=175,认假率=0.000000,拒真率=0.992504,识别率=0.503748
score=176,认假率=0.000000,拒真率=0.992592,识别率=0.503704
score=177,认假率=0.000000,拒真率=0.992680,识别率=0.503660
score=178,认假率=0.000000,拒真率=0.992680,识别率=0.503660
score=179,认假率=0.000000,拒真率=0.992768,识别率=0.503616
score=180,认假率=0.000000,拒真率=0.992768,识别率=0.503616
score=181,认假率=0.000000,拒真率=0.992857,识别率=0.503572
score=182,认假率=0.000000,拒真率=0.992857,识别率=0.503572
score=183,认假率=0.000000,拒真率=0.993033,识别率=0.503484
score=184,认假率=0.000000,拒真率=0.993033,识别率=0.503484
score=185,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=186,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=187,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=188,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=189,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=190,认假率=0.000000,拒真率=0.993121,识别率=0.503439
score=191,认假率=0.000000,拒真率=0.994356,识别率=0.502822
score=192,认假率=0.000000,拒真率=0.994444,识别率=0.502778
score=193,认假率=0.000000,拒真率=0.994532,识别率=0.502734
score=194,认假率=0.000000,拒真率=0.994532,识别率=0.502734
score=195,认假率=0.000000,拒真率=0.994709,识别率=0.502646
score=196,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=197,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=198,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=199,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=200,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=201,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=202,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=203,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=204,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=205,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=206,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=207,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=208,认假率=0.000000,拒真率=0.994797,识别率=0.502602
score=209,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=210,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=211,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=212,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=213,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=214,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=215,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=216,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=217,认假率=0.000000,拒真率=0.995590,识别率=0.502205
score=218,认假率=0.000000,拒真率=0.995679,识别率=0.502161
score=219,认假率=0.000000,拒真率=0.995767,识别率=0.502117
score=220,认假率=0.000000,拒真率=0.995767,识别率=0.502117
score=221,认假率=0.000000,拒真率=0.995767,识别率=0.502117
score=222,认假率=0.000000,拒真率=0.995767,识别率=0.502117
score=223,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=224,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=225,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=226,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=227,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=228,认假率=0.000000,拒真率=0.995855,识别率=0.502072
score=229,认假率=0.000000,拒真率=0.995943,识别率=0.502028
score=230,认假率=0.000000,拒真率=0.995943,识别率=0.502028
score=231,认假率=0.000000,拒真率=0.996561,识别率=0.501720
score=232,认假率=0.000000,拒真率=0.996561,识别率=0.501720
score=233,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=234,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=235,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=236,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=237,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=238,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=239,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=240,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=241,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=242,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=243,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=244,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=245,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=246,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=247,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=248,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=249,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=250,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=251,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=252,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=253,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=254,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=255,认假率=0.000000,拒真率=0.996737,识别率=0.501632
score=256,认假率=0.000000,拒真率=0.997354,识别率=0.501323
